Value,Disaggregation combinations using this value,Number of indicators
_L_KG_010301_1F1,1,1
_L_KG_010301_1F2,1,1
_L_KG_010301_1G1,1,1
_L_KG_010301_1G2,1,1
_L_KG_010301_1G3,1,1
_L_KG_010A02_1,1,1
_L_KG_010B01_11,5,1
_L_KG_010B01_12,5,1
_L_KG_050201_1A1,1,1
_L_KG_050201_1A2,1,1
_L_KG_050201_1A3,1,1
_L_KG_050201_1A4,1,1
_L_KG_050201_1A5,1,1
_L_KG_060101_2B1,1,1
_L_KG_060101_2B2,1,1
_L_KG_060401_2A,10,1
_L_KG_060401_2B,10,1
_L_KG_070201_1A,1,1
_L_KG_070201_1B,1,1
_L_KG_080301_21,1,1
_L_KG_080301_22,1,1
_L_KG_081002_2A,1,1
_L_KG_081002_2B,1,1
_L_KG_100201_1,1,1
_L_KG_100301_1A1,1,1
_L_KG_100301_1A2,1,1
_L_KG_100501_11,1,1
_L_KG_100501_12,1,1
_L_KG_100501_13,1,1
_L_KG_150201_1,1,1
_L_KG_150301_1A,4,1
_L_KG_150301_1B,1,1
_L_KG_160402_1A,1,1
_L_KG_160402_1B,1,1
_L_KG_160501_1B1,3,1
_L_KG_160501_1B2,3,1
_L_KG_171301_1A,1,1
_L_KG_171301_1B,1,1
_L_KG_171301_1C,1,1
_L_KG_171301_1D,1,1
_L_KG_171301_1E,1,1
_L_KG_171301_1F,1,1
_L_KG_171301_1G,1,1
_L_KG_171301_1H,1,1
AG_LND_FRSTBIOPHA,1,1
AG_LND_FRSTMGT,1,1
AG_LND_FRSTPRCT,1,1
FB_ATM_TOTL,1,1
FB_CBK_BRCH,1,1
IS_RDP_FRGVOL,6,1
IS_RDP_PFVOL,6,1
IT_MOB_2GNTWK,1,1
IT_MOB_3GNTWK,1,1
IT_MOB_4GNTWK,1,1
NV_IND_MANF,1,1
NV_IND_MANFPC,1,1
SD_XPD_ESED,1,1
SG_XPD_HLTH,1,1
SG_XPD_PROT,1,1
SH_ACS_DTP3,10,1
SH_ACS_MCV2,10,1
SH_ACS_PCV3,10,1
SH_STA_WAST,20,1
SI_POV_50MI,18,1
SL_DOM_TSPD,1,1
SL_DOM_TSPDCW,1,1
SL_DOM_TSPDDC,1,1
SL_EMP_FTLINJUR,26,1
SL_EMP_INJUR,30,1
SN_STA_OVWGT,20,1
SP_DYN_MRBF15,20,1
SP_DYN_MRBF18,20,1
VC_IHR_PSRC,10,1
VC_IHR_PSRCN,10,1
